nombre,Total
armenia,3
emiratos arabes unidos,1
panama,1
rusia,2
arabia saudita,3
brasil,26
costa rica,1
dinamarca,1
grecia,2
japon,2
mozambique,2
nigeria,2
qatar,2
uruguay,8
argelia,3
bulgaria,2
chile,7
corea del sur,2
españa,14
etiopia,3
finlandia,2
jamaica,3
malasia,1
pakistan,1
republica dominicana,1
singapur,2
ucrania,2
alemania,3
egipto,3
francia,3
honduras,3
hungria,1
indonesia,1
italia,9
paraguay,5
polonia,1
senegal,1
siria,1
australia,3
azerbaiyan,3
barbados,1
bolivia,7
colombia,3
ecuador,3
el salvador,3
estados unidos,24
filipinas,3
israel,3
mexico,4
paises bajos,2
rumania,2
serbia,2
turquia,3
venezuela,3
nicaragua,2
palestina,1
suiza,4
vietnam,2
angola,2
belgica,7
canada,7
china,1
ciudad del vaticano,4
irlanda,2
kuwait,1
marruecos,2
noruega,2
republica checa,2
sudafrica,3
trinidad y tobago,2
tunez,4
austria,3
cuba,1
india,6
kenia,2
libano,1
peru,2
suecia,3
tailandia,1
